id,language,code,label
1,C,"#include <stdio.h>
#include <string.h>

int write_profile(const char *base_dir, const char *user_name) {
    char path[128];
    sprintf(path, ""%s/%s.cfg"", base_dir, user_name);

    FILE *fp = fopen(path, ""w"");
    if (!fp) {
        return -1;
    }

    fprintf(fp, ""user=%s\n"", user_name);
    fclose(fp);
    return 0;
}",VULNERABLE
2,C,"#include <stdio.h>

int write_profile(const char *base_dir, const char *user_name) {
    char path[128];

    if (!is_valid_filename(user_name)) {
        return -1;
    }

    if (snprintf(path, sizeof(path), ""%s/%s.cfg"", base_dir, user_name) >= (int)sizeof(path)) {
        return -1;
    }

    FILE *fp = fopen(path, ""w"");
    if (!fp) {
        return -1;
    }

    fprintf(fp, ""user=%s\n"", user_name);
    fclose(fp);
    return 0;
}",SAFE
3,C,"#include <stdint.h>
#include <stdlib.h>
#include <string.h>

struct entry {
    uint32_t id;
    char name[32];
};

int import_entries(const unsigned char *src, uint32_t count) {
    uint32_t bytes = count * sizeof(struct entry);
    struct entry *items = malloc(bytes);
    if (!items) {
        return -1;
    }

    memcpy(items, src, bytes);
    free(items);
    return 0;
}",VULNERABLE
4,C,"#include <stdint.h>
#include <stdlib.h>
#include <string.h>

struct entry {
    uint32_t id;
    char name[32];
};

int import_entries(const unsigned char *src, size_t count) {
    if (count > SIZE_MAX / sizeof(struct entry)) {
        return -1;
    }

    size_t bytes = count * sizeof(struct entry);
    struct entry *items = calloc(count, sizeof(struct entry));
    if (!items) {
        return -1;
    }

    memcpy(items, src, bytes);
    free(items);
    return 0;
}",SAFE
5,C,"#include <stdio.h>

void audit_login(FILE *logfile, const char *user_message) {
    fprintf(logfile, user_message);
    fprintf(logfile, ""\n"");
}",VULNERABLE
6,C++,"#include <filesystem>
#include <fstream>
#include <string>

bool save_report(const std::filesystem::path &root, const std::string &name, const std::string &data) {
    if (!is_safe_report_name(name)) {
        return false;
    }

    auto path = root / (name + "".json"");
    std::ofstream out(path, std::ios::binary);
    if (!out) {
        return false;
    }

    out << data;
    return true;
}",SAFE
7,C++,"#include <string>

std::string find_user(Database &db, const std::string &name) {
    std::string query = ""SELECT id, role FROM users WHERE name='"" + name + ""'"";
    return db.fetch_one(query);
}",VULNERABLE
8,C++,"#include <array>
#include <algorithm>
#include <cstring>

bool copy_tag(const std::string &input, std::array<char, 32> &tag) {
    if (input.size() >= tag.size()) {
        return false;
    }

    std::fill(tag.begin(), tag.end(), '\\0');
    std::copy_n(input.begin(), input.size(), tag.begin());
    return true;
}",SAFE
9,Java,"import javax.servlet.http.HttpServletRequest;

public class BackupController {
    public void runBackup(HttpServletRequest request) throws Exception {
        String archive = request.getParameter(""archive"");
        String command = ""tar -czf /tmp/"" + archive + "".tgz /srv/data"";
        Runtime.getRuntime().exec(new String[] {""/bin/sh"", ""-c"", command});
    }
}",VULNERABLE
10,Java,"import java.sql.Connection;
import java.sql.PreparedStatement;

public class UserRepository {
    public void loadUser(Connection conn, String username) throws Exception {
        PreparedStatement ps = conn.prepareStatement(
            ""SELECT id, role FROM users WHERE username = ?""
        );
        ps.setString(1, username);
        ps.executeQuery();
    }
}",SAFE
11,Java,"import javax.net.ssl.HostnameVerifier;
import javax.net.ssl.HttpsURLConnection;
import javax.net.ssl.SSLSession;

public class ClientConfig {
    public void disableTlsVerification() {
        HttpsURLConnection.setDefaultHostnameVerifier(new HostnameVerifier() {
            @Override
            public boolean verify(String hostname, SSLSession session) {
                return true;
            }
        });
    }
}",VULNERABLE
12,Java,"import javax.net.ssl.HttpsURLConnection;
import javax.net.ssl.SSLContext;

public class ClientConfig {
    public SSLContext buildContext(KeyMaterial km, TrustMaterial tm) throws Exception {
        SSLContext ctx = SSLContext.getInstance(""TLS"");
        ctx.init(km.managers(), tm.managers(), null);
        HttpsURLConnection.setDefaultSSLSocketFactory(ctx.getSocketFactory());
        return ctx;
    }
}",SAFE
13,Python,"import tarfile
from pathlib import Path

def restore_backup(archive_path: str, destination: str) -> None:
    target = Path(destination)
    with tarfile.open(archive_path) as bundle:
        bundle.extractall(target)
",VULNERABLE
