id,gold,pred
1,vulnerable,unknown
2,safe,vulnerable
3,vulnerable,vulnerable
4,safe,vulnerable
5,vulnerable,vulnerable
6,safe,vulnerable
7,vulnerable,unknown
8,safe,unknown
9,vulnerable,vulnerable
10,safe,vulnerable
11,vulnerable,vulnerable
12,safe,vulnerable
13,vulnerable,unknown
14,safe,unknown
15,vulnerable,vulnerable
16,safe,vulnerable
17,vulnerable,vulnerable
18,safe,vulnerable
19,vulnerable,vulnerable
20,safe,vulnerable
21,vulnerable,unknown
22,safe,unknown
23,vulnerable,vulnerable
24,safe,vulnerable
25,vulnerable,vulnerable
26,safe,vulnerable
27,vulnerable,unknown
28,safe,vulnerable
29,vulnerable,vulnerable
30,safe,vulnerable
31,vulnerable,unknown
32,safe,unknown
33,vulnerable,vulnerable
34,safe,vulnerable
35,vulnerable,safe
36,safe,safe
37,vulnerable,unknown
38,safe,unknown
39,vulnerable,vulnerable
40,safe,vulnerable
41,vulnerable,unknown
42,safe,unknown
43,vulnerable,unknown
44,safe,unknown
45,vulnerable,unknown
46,safe,unknown
47,vulnerable,unknown
48,safe,unknown
49,vulnerable,unknown
50,safe,unknown
51,vulnerable,unknown
52,safe,unknown
53,vulnerable,unknown
54,safe,unknown
55,vulnerable,unknown
56,safe,unknown
57,vulnerable,vulnerable
58,safe,vulnerable
59,vulnerable,unknown
60,safe,unknown
61,vulnerable,unknown
62,safe,unknown
63,vulnerable,vulnerable
64,safe,vulnerable
65,vulnerable,safe
66,safe,safe
67,vulnerable,vulnerable
68,safe,vulnerable
69,vulnerable,vulnerable
70,safe,vulnerable
71,vulnerable,vulnerable
72,safe,vulnerable
73,vulnerable,vulnerable
74,safe,vulnerable
75,vulnerable,unknown
76,safe,unknown
77,vulnerable,unknown
78,safe,unknown
79,vulnerable,unknown
80,safe,unknown
81,vulnerable,vulnerable
82,safe,vulnerable
83,vulnerable,unknown
84,safe,unknown
85,vulnerable,unknown
86,safe,unknown
87,vulnerable,unknown
88,safe,unknown
89,vulnerable,vulnerable
90,safe,vulnerable
91,vulnerable,vulnerable
92,safe,vulnerable
93,vulnerable,unknown
94,safe,unknown
95,vulnerable,vulnerable
96,safe,vulnerable
97,vulnerable,unknown
98,safe,unknown
99,vulnerable,vulnerable
100,safe,safe
101,vulnerable,safe
102,safe,safe
103,vulnerable,vulnerable
104,safe,vulnerable
105,vulnerable,unknown
106,safe,vulnerable
107,vulnerable,vulnerable
108,safe,vulnerable
109,vulnerable,unknown
110,safe,vulnerable
111,vulnerable,unknown
112,safe,vulnerable
113,vulnerable,vulnerable
114,safe,vulnerable
115,vulnerable,unknown
116,safe,unknown
117,vulnerable,vulnerable
118,safe,vulnerable
119,vulnerable,safe
120,safe,unknown
121,vulnerable,vulnerable
122,safe,unknown
123,vulnerable,vulnerable
124,safe,vulnerable
125,vulnerable,safe
126,safe,unknown
127,vulnerable,vulnerable
128,safe,vulnerable
129,vulnerable,vulnerable
130,safe,vulnerable
131,vulnerable,unknown
132,safe,unknown
133,vulnerable,unknown
134,safe,unknown
135,vulnerable,vulnerable
136,safe,unknown
137,vulnerable,unknown
138,safe,unknown
139,vulnerable,safe
140,safe,vulnerable
141,vulnerable,vulnerable
142,safe,vulnerable
143,vulnerable,vulnerable
144,safe,vulnerable
145,vulnerable,vulnerable
146,safe,vulnerable
147,vulnerable,unknown
148,safe,unknown
149,vulnerable,unknown
150,safe,unknown
151,vulnerable,unknown
152,safe,unknown
153,vulnerable,unknown
154,safe,unknown
155,vulnerable,unknown
156,safe,unknown
157,vulnerable,unknown
158,safe,unknown
159,vulnerable,unknown
160,safe,unknown
161,vulnerable,unknown
162,safe,unknown
163,vulnerable,unknown
164,safe,unknown
165,vulnerable,unknown
166,safe,unknown
167,vulnerable,vulnerable
168,safe,vulnerable
169,vulnerable,unknown
170,safe,unknown
171,vulnerable,vulnerable
172,safe,unknown
173,vulnerable,unknown
174,safe,unknown
175,vulnerable,unknown
176,safe,unknown
177,vulnerable,unknown
178,safe,unknown
179,vulnerable,vulnerable
180,safe,unknown
181,vulnerable,unknown
182,safe,unknown
183,vulnerable,unknown
184,safe,safe
185,vulnerable,vulnerable
186,safe,vulnerable
187,vulnerable,unknown
188,safe,unknown
189,vulnerable,safe
190,safe,vulnerable
191,vulnerable,unknown
192,safe,unknown
193,vulnerable,unknown
194,safe,unknown
195,vulnerable,unknown
196,safe,unknown
197,vulnerable,unknown
198,safe,unknown
199,vulnerable,unknown
200,safe,unknown
